
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
176        176  2016-2017                    Rice        Production (in Tonnes)  Charsadda        276
177        177  2016-2017                    Rice       Yield per Hectare in Kg  Charsadda       2281
178        178  2016-2017                   Maize            Area (in Hectares)  Charsadda      16319
179        179  2016-2017                   Maize        Production (in Tonnes)  Charsadda      38330
180        180  2016-2017                   Maize       Yield per Hectare in Kg  Charsadda       2349
181        181  2016-2017              Fertilizer             Total (in Tonnes)    Chitral          4
182        182  2016-2017          Area Irrigated                  Canal - Govt    Chitral      60692
183        183  2016-2017          Area Irrigated                   Canal - Pvt    Chitral       3324
184        184  2016-2017          Area Irrigated                         Tanks    Chitral          0
185        185  2016-2017          Area Irrigated                     Tubewells    Chitral        206
186        186  2016-2017          Area Irrigated                    Left Pumps    Chitral         25
187        187  2016-2017          Area Irrigated                         Wells    Chitral        928
188        188  2016-2017          Area Irrigated                        Others    Chitral       1364
189        189  2016-2017               Tubewells                 Govt - Deisel    Chitral         20
190        190  2016-2017               Tubewells                  Govt - Elect    Chitral          0
191        191  2016-2017               Tubewells                  Pvt - Deisel    Chitral        630
192        192  2016-2017               Tubewells                   Pvt - Elect    Chitral         30
193        193  2016-2017     Tractors/Bulldozers               Govt - Tractors    Chitral         13
194        194  2016-2017     Tractors/Bulldozers              Govt - Bulldozer    Chitral          0
195        195  2016-2017     Tractors/Bulldozers                Pvt - Tractors    Chitral       1536
196        196  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer    Chitral          0
197        197  2016-2017  Agricultural Machinery        Wheat Threshers - Govt    Chitral          2
198        198  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt    Chitral        842
199        199  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt    Chitral          0
200        200  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt    Chitral         21
201        201  2016-2017  Agricultural Machinery         Maize Shellers - Govt    Chitral          0
202        202  2016-2017  Agricultural Machinery          Maize Shellers - Pvt    Chitral         55
203        203  2016-2017  Agricultural Machinery        Wheat Harvester - Govt    Chitral          2
204        204  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt    Chitral         22
205        205  2016-2017                   Wheat            Area (in Hectares)    Chitral       8302
206        206  2016-2017                   Wheat        Production (in Tonnes)    Chitral      17868
207        207  2016-2017                   Wheat       Yield per Hectare in Kg    Chitral       2152
208        208  2016-2017               Sugarcane            Area (in Hectares)    Chitral          0
209        209  2016-2017               Sugarcane        Production (in Tonnes)    Chitral          0
210        210  2016-2017               Sugarcane       Yield per Hectare in Kg    Chitral          0
211        211  2016-2017                    Rice            Area (in Hectares)    Chitral       1828
212        212  2016-2017                    Rice        Production (in Tonnes)    Chitral       3660
213        213  2016-2017                    Rice       Yield per Hectare in Kg    Chitral       2002
214        214  2016-2017                   Maize            Area (in Hectares)    Chitral       5394
215        215  2016-2017                   Maize        Production (in Tonnes)    Chitral      13485
216        216  2016-2017                   Maize       Yield per Hectare in Kg    Chitral       2500
217        217  2016-2017              Fertilizer             Total (in Tonnes)   D.I.Khan      25214
218        218  2016-2017          Area Irrigated                  Canal - Govt   D.I.Khan       4521
219        219  2016-2017          Area Irrigated                   Canal - Pvt   D.I.Khan      16413
220        220  2016-2017          Area Irrigated                         Tanks   D.I.Khan          0
221        221  2016-2017          Area Irrigated                     Tubewells   D.I.Khan          0
222        222  2016-2017          Area Irrigated                    Left Pumps   D.I.Khan          0
223        223  2016-2017          Area Irrigated                         Wells   D.I.Khan          0
224        224  2016-2017          Area Irrigated                        Others   D.I.Khan          0
225        225  2016-2017               Tubewells                 Govt - Deisel   D.I.Khan          0
226        226  2016-2017               Tubewells                  Govt - Elect   D.I.Khan          0
227        227  2016-2017               Tubewells                  Pvt - Deisel   D.I.Khan          0
228        228  2016-2017               Tubewells                   Pvt - Elect   D.I.Khan          0
229        229  2016-2017     Tractors/Bulldozers               Govt - Tractors   D.I.Khan         12
230        230  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   D.I.Khan          3
231        231  2016-2017     Tractors/Bulldozers                Pvt - Tractors   D.I.Khan        235
232        232  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   D.I.Khan         13
233        233  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   D.I.Khan          3
234        234  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   D.I.Khan        165
235        235  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   D.I.Khan          0
236        236  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   D.I.Khan         14
237        237  2016-2017  Agricultural Machinery         Maize Shellers - Govt   D.I.Khan          0
238        238  2016-2017  Agricultural Machinery          Maize Shellers - Pvt   D.I.Khan         40
239        239  2016-2017  Agricultural Machinery        Wheat Harvester - Govt   D.I.Khan          1
240        240  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt   D.I.Khan          4
241        241  2016-2017                   Wheat            Area (in Hectares)   D.I.Khan      50544
242        242  2016-2017                   Wheat        Production (in Tonnes)   D.I.Khan     107770
243        243  2016-2017                   Wheat       Yield per Hectare in Kg   D.I.Khan       2132
244        244  2016-2017               Sugarcane            Area (in Hectares)   D.I.Khan      27787
245        245  2016-2017               Sugarcane        Production (in Tonnes)   D.I.Khan    1647738
246        246  2016-2017               Sugarcane       Yield per Hectare in Kg   D.I.Khan      59299
247        247  2016-2017                    Rice            Area (in Hectares)   D.I.Khan      12958
248        248  2016-2017                    Rice        Production (in Tonnes)   D.I.Khan      34308
249        249  2016-2017                    Rice       Yield per Hectare in Kg   D.I.Khan       2648
250        250  2016-2017                   Maize            Area (in Hectares)   D.I.Khan        943
251        251  2016-2017                   Maize        Production (in Tonnes)   D.I.Khan       2369
252        252  2016-2017                   Maize       Yield per Hectare in Kg   D.I.Khan       2512
253        253  2016-2017              Fertilizer             Total (in Tonnes)  Dir Lower       3842
254        254  2016-2017          Area Irrigated                  Canal - Govt  Dir Lower     147600
255        255  2016-2017          Area Irrigated                   Canal - Pvt  Dir Lower        345
256        256  2016-2017          Area Irrigated                         Tanks  Dir Lower          0
257        257  2016-2017          Area Irrigated                     Tubewells  Dir Lower      14815
258        258  2016-2017          Area Irrigated                    Left Pumps  Dir Lower       3234
259        259  2016-2017          Area Irrigated                         Wells  Dir Lower          0
260        260  2016-2017          Area Irrigated                        Others  Dir Lower          0
261        261  2016-2017               Tubewells                 Govt - Deisel  Dir Lower          0
262        262  2016-2017               Tubewells                  Govt - Elect  Dir Lower         19
263        263  2016-2017               Tubewells                  Pvt - Deisel  Dir Lower         61
264        264  2016-2017               Tubewells                   Pvt - Elect  Dir Lower        892
265        265  2016-2017     Tractors/Bulldozers               Govt - Tractors  Dir Lower         29
266        266  2016-2017     Tractors/Bulldozers              Govt - Bulldozer  Dir Lower         14
267        267  2016-2017     Tractors/Bulldozers                Pvt - Tractors  Dir Lower       4166
268        268  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer  Dir Lower          4
269        269  2016-2017  Agricultural Machinery        Wheat Threshers - Govt  Dir Lower          4
270        270  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt  Dir Lower        447
271        271  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt  Dir Lower          0
272        272  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt  Dir Lower         40
273        273  2016-2017  Agricultural Machinery         Maize Shellers - Govt  Dir Lower          7
274        274  2016-2017  Agricultural Machinery          Maize Shellers - Pvt  Dir Lower          0
275        275  2016-2017  Agricultural Machinery        Wheat Harvester - Govt  Dir Lower          2
276        276  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt  Dir Lower         46
277        277  2016-2017                   Wheat            Area (in Hectares)  Dir Lower      28630
278        278  2016-2017                   Wheat        Production (in Tonnes)  Dir Lower      51340
279        279  2016-2017                   Wheat       Yield per Hectare in Kg  Dir Lower       1793
280        280  2016-2017               Sugarcane            Area (in Hectares)  Dir Lower         46
281        281  2016-2017               Sugarcane        Production (in Tonnes)  Dir Lower       1425
282        282  2016-2017               Sugarcane       Yield per Hectare in Kg  Dir Lower      30978
283        283  2016-2017                    Rice            Area (in Hectares)  Dir Lower       9254
284        284  2016-2017                    Rice        Production (in Tonnes)  Dir Lower      21551
285        285  2016-2017                    Rice       Yield per Hectare in Kg  Dir Lower       2329
286        286  2016-2017                   Maize            Area (in Hectares)  Dir Lower       9495
287        287  2016-2017                   Maize        Production (in Tonnes)  Dir Lower      21850
288        288  2016-2017                   Maize       Yield per Hectare in Kg  Dir Lower       2301
289        289  2016-2017              Fertilizer             Total (in Tonnes)  Dir Upper          0
290        290  2016-2017          Area Irrigated                  Canal - Govt  Dir Upper        960
291        291  2016-2017          Area Irrigated                   Canal - Pvt  Dir Upper      36558
292        292  2016-2017          Area Irrigated                         Tanks  Dir Upper        197
293        293  2016-2017          Area Irrigated                     Tubewells  Dir Upper        268
294        294  2016-2017          Area Irrigated                    Left Pumps  Dir Upper        170
295        295  2016-2017          Area Irrigated                         Wells  Dir Upper       2432
296        296  2016-2017          Area Irrigated                        Others  Dir Upper       1172
297        297  2016-2017               Tubewells                 Govt - Deisel  Dir Upper          0
298        298  2016-2017               Tubewells                  Govt - Elect  Dir Upper          0
299        299  2016-2017               Tubewells                  Pvt - Deisel  Dir Upper          0
300        300  2016-2017               Tubewells                   Pvt - Elect  Dir Upper          0
301        301  2016-2017     Tractors/Bulldozers               Govt - Tractors  Dir Upper          8
302        302  2016-2017     Tractors/Bulldozers              Govt - Bulldozer  Dir Upper         11
303        303  2016-2017     Tractors/Bulldozers                Pvt - Tractors  Dir Upper       1608
304        304  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer  Dir Upper         20
305        305  2016-2017  Agricultural Machinery        Wheat Threshers - Govt  Dir Upper          5
306        306  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt  Dir Upper        913
307        307  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt  Dir Upper          0
308        308  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt  Dir Upper        220
309        309  2016-2017  Agricultural Machinery         Maize Shellers - Govt  Dir Upper          0
310        310  2016-2017  Agricultural Machinery          Maize Shellers - Pvt  Dir Upper        488
311        311  2016-2017  Agricultural Machinery        Wheat Harvester - Govt  Dir Upper          0
312        312  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt  Dir Upper          0
313        313  2016-2017                   Wheat            Area (in Hectares)  Dir Upper      23735
314        314  2016-2017                   Wheat        Production (in Tonnes)  Dir Upper      44285
315        315  2016-2017                   Wheat       Yield per Hectare in Kg  Dir Upper       1866
316        316  2016-2017               Sugarcane            Area (in Hectares)  Dir Upper          0
317        317  2016-2017               Sugarcane        Production (in Tonnes)  Dir Upper          0
318        318  2016-2017               Sugarcane       Yield per Hectare in Kg  Dir Upper          0
319        319  2016-2017                    Rice            Area (in Hectares)  Dir Upper       7535
320        320  2016-2017                    Rice        Production (in Tonnes)  Dir Upper      14796
321        321  2016-2017                    Rice       Yield per Hectare in Kg  Dir Upper       1964
322        322  2016-2017                   Maize            Area (in Hectares)  Dir Upper       5895
323        323  2016-2017                   Maize        Production (in Tonnes)  Dir Upper      11749
324        324  2016-2017                   Maize       Yield per Hectare in Kg  Dir Upper       1993
325        325  2016-2017              Fertilizer             Total (in Tonnes)      Hangu         27
326        326  2016-2017          Area Irrigated                  Canal - Govt      Hangu      19645
327        327  2016-2017          Area Irrigated                   Canal - Pvt      Hangu       1236
328        328  2016-2017          Area Irrigated                         Tanks      Hangu        228
329        329  2016-2017          Area Irrigated                     Tubewells      Hangu         94
330        330  2016-2017          Area Irrigated                    Left Pumps      Hangu         88
331        331  2016-2017          Area Irrigated                         Wells      Hangu         94
332        332  2016-2017          Area Irrigated                        Others      Hangu       1003
333        333  2016-2017               Tubewells                 Govt - Deisel      Hangu          0
334        334  2016-2017               Tubewells                  Govt - Elect      Hangu          0
335        335  2016-2017               Tubewells                  Pvt - Deisel      Hangu          0
336        336  2016-2017               Tubewells                   Pvt - Elect      Hangu          0
337        337  2016-2017     Tractors/Bulldozers               Govt - Tractors      Hangu          5
338        338  2016-2017     Tractors/Bulldozers              Govt - Bulldozer      Hangu          7
339        339  2016-2017     Tractors/Bulldozers                Pvt - Tractors      Hangu        212
340        340  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer      Hangu          4
341        341  2016-2017  Agricultural Machinery        Wheat Threshers - Govt      Hangu          4
342        342  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt      Hangu        187
343        343  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt      Hangu          0
344        344  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt      Hangu         73
345        345  2016-2017  Agricultural Machinery         Maize Shellers - Govt      Hangu          0
346        346  2016-2017  Agricultural Machinery          Maize Shellers - Pvt      Hangu        104
347        347  2016-2017  Agricultural Machinery        Wheat Harvester - Govt      Hangu          0
348        348  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt      Hangu          0
349        349  2016-2017                   Wheat            Area (in Hectares)      Hangu      12231
350        350  2016-2017                   Wheat        Production (in Tonnes)      Hangu      17380
351        351  2016-2017                   Wheat       Yield per Hectare in Kg      Hangu       1421
352        352  2016-2017               Sugarcane            Area (in Hectares)      Hangu         10
353        353  2016-2017               Sugarcane        Production (in Tonnes)      Hangu        400
354        354  2016-2017               Sugarcane       Yield per Hectare in Kg      Hangu      40000
355        355  2016-2017                    Rice            Area (in Hectares)      Hangu        406
356        356  2016-2017                    Rice        Production (in Tonnes)      Hangu        690
357        357  2016-2017                    Rice       Yield per Hectare in Kg      Hangu       1700
358        358  2016-2017                   Maize            Area (in Hectares)      Hangu       7615
359        359  2016-2017                   Maize        Production (in Tonnes)      Hangu       6853
360        360  2016-2017                   Maize       Yield per Hectare in Kg      Hangu        900
361        361  2016-2017              Fertilizer             Total (in Tonnes)    Haripur       4238
362        362  2016-2017          Area Irrigated                  Canal - Govt    Haripur         26
363        363  2016-2017          Area Irrigated                   Canal - Pvt    Haripur          0
364        364  2016-2017          Area Irrigated                         Tanks    Haripur          0
365        365  2016-2017          Area Irrigated                     Tubewells    Haripur        523
